 
          19          25  -36.929103387610667     
          19          26   2.3753512449220580     
          20           1   60.808725408438477     
          20           2  -114.17743344455084     
          20           3  -199.35295493301965     
          20           4  -1616.3600765880983     
          20           5   161.89840477637699     
          20           6  -24.656309341524320     
          20           7  -44.815150548227393     
          20           8  -55.146859107360797     
          20           9  -4.4357390183649841     
          20          10   13.964438024489937     
          20          11  -403.99950044193974     
          20          12  -76.594507733632781     
          20          13   106.64889041607967     
          20          14  -95.009929625473887     
          20          15  -198.68525339075495     
          20          16   272.05891794247873     
          20          17   92.124259913245623     
          20          18  -3.7192059139888443     
          20          19  -495.39646555594663     
          20          20   0.0000000000000000     
          20          21  -2523.3215598890019     
          20          22  -74.956076429418317     
          20          23  -1384.4833118886454     
          20          24  -21.399997790305861     
          20          25  -6.5363792122770974     
          20          26  -406.20132407720666     
          21           1  -24.242949048089940     
          21           2  -166.10037342728901     
          21           3  -226.67692116771650     
          21           4   1438.4698222500592     
          21           5   170.63176282675704     
          21           6  -36.910867578120815     
          21           7  -122.47467706543466     
          21           8  -185.79548897976201     
          21           9   4.3950754569559649     
          21          10   5.8083675109301112     
          21          11  -1349.1584482001854     
          21          12  -155.83480495147887     
          21          13   256.74550437594735     
          21          14  -649.90997765062639     
          21          15  -543.56968725829211     
          21          16  -2372.1827549488517     
          21          17  -631.14708743847586     
          21          18  -96.212117105336802     
          21          19  -2800.6068860496453     
          21          20  -2523.3215598890019     
          21          21   0.0000000000000000     
          21          22  -58.400653695691290     
          21          23  -180.95652715859615     
          21          24  -3.2400643268665590     
          21          25  -12.219835389543732     
          21          26   299.70978971106524     
          22           1  -331.99369330266927     
          22           2  -108.30413495966786     
          22           3  -1842.1581423013195     
          22           4   25.120810777436418     
          22           5  -26.110015016532998     
          22           6   18.824182314663631     
          22           7  -212.52170994642802     
          22           8  -1577.1576345050780     
          22           9   88.499336419958126     
          22          10  -73.934267747463309     
          22          11  -139.19397922831558     
          22          12  -6.7807393359253183     
          22          13  -84.712645873285510     
          22          14   56.334522512377589     
          22          15  -1952.5723598549812     
          22          16   35.467070645019703     
          22          17   37.826035011727072     
          22          18  -49.854764484185580     
          22          19  -267.75185669300117     
          22          20  -74.956076429418317     
          22          21  -58.400653695691290     
          22          22   0.0000000000000000     
          22          23  -2.0439531562151387     
          22          24   4.2069901577124256     
          22          25   68.093856596842670     
          22          26   41.420983371343027     
          23           1  -415.38375560516579     
          23           2  -1863.2523225469486     
          23           3  -49.289953304585651     
          23           4  -1.9513100176991429     
          23           5   383.96565171363909     
          23           6   17.964073985964205     
          23           7   32.454418412893574     
          23           8   9.1689175183164480     
          23           9  -48.947156069414632     
          23          10  -252.28897842304650     
          23          11   29.217512425871973     
          23          12   41.626401734774845     
          23          13   175.28699033032899     
          23          14  -51.869441378519696     
          23          15   24.692577917328890     
          23          16  -90.029714402189711     
          23          17  -23.840987149909779     
          23          18  -232.80344047809922     
          23          19  -84.232176480090857     
          23          20  -1384.4833118886454     
          23          21  -180.95652715859615     
          23          22  -2.0439531562151387     
          23          23   0.0000000000000000     
          23          24   7.4959412894022535     
          23          25  -90.640128096747503     
          23          26  -1154.2595325925358     
          24           1   24.562331229135452     
          24           2  -58.220794023640337     
          24           3   13.267253803340282     
          24           4  -2.9763573715463281     
          24           5  -91.011209441039682     
          24           6  -2393.1491510555279     
          24           7   802.53552493311145     
          24           8   130.76194668189055     
          24           9  -127.18722092737153     
          24          10  -347.05681509787973     
          24          11  -12.115074368462956     
          24          12  -1436.2655576205143     
          24          13  -326.49191150117986     
          24          14  -194.93853306570236     
          24          15   54.894048087277042     
          24          16   61.265687306560721     
          24          17   112.82725625215608     
          24          18  -59.927336477496283     
          24          19  -10.464754264616204     
          24          20  -21.399997790305861     
          24          21  -3.2400643268665590     
          24          22   4.2069901577124256     
          24          23   7.4959412894022535     
          24          24   0.0000000000000000     
          24          25  -2166.1909752674765     
          24          26   19.745008850804879     
          25           1   114.86378399780006     
          25           2  -181.57128198004648     
          25           3   27.233916497440077     
          25           4  -86.996874126649345     
          25           5   28.819246792951162     
          25           6  -101.32388069666922     
          25           7  -742.03528048773296     
          25           8  -125.58238231611904     
          25           9  -2061.7294255236120     
          25          10  -2052.5406778621982     
          25          11  -110.38742754484701     
          25          12  -857.41049384509824     
          25          13  -970.80698800683604     
          25          14  -45.896210187711404     
          25          15  -16.853375302533095     
          25          16   13.560576167070394     
          25          17   25.830709942914837     
          25          18  -104.06876424664006     
          25          19  -36.929103387610667     
          25          20  -6.5363792122770974     
          25          21  -12.219835389543732     
          25          22   68.093856596842670     
          25          23  -90.640128096747503     
          25          24  -2166.1909752674765     
          25          25   0.0000000000000000     
          25          26   58.541179218085745     
          26           1   54.503452596512943     
          26           2   347.90787572836416     
          26           3   8.6940781527373474     
          26           4  -353.05634297987126     
          26           5  -1385.0886429163074     
          26           6 -0.29879520937720372     
          26           7  -25.095277375767182     
          26           8  -62.310316931951093     
          26           9   31.489590869441599     
